name,class,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
MAXI J1348-630,candidateBH,58711.867,HS,1.0009002719812598e+27,3.336334239937533e+26,1,4.730626656338189e+33,1.5768755521127304e+33,0.0,1
MAXI J1348-630,candidateBH,58718.658,HS,8.15548369762508e+26,2.7184945658750264e+26,1,3.266267487568637e+33,1.0887558291895467e+33,0.0,1
MAXI J1348-630,candidateBH,58726.741,HS,8.896891306500088e+26,2.9656304355000296e+26,1,1.191866938663351e+32,3.9728897955445054e+31,0.0,1
MAXI J1348-630,candidateBH,58775.61615,HS,1.1121114133125108e+27,3.707038044375036e+26,1,4.7268194761857804e+32,1.4751684190361349e+32,2.0965492425053787e+32,0
MAXI J1348-630,candidateBH,58782.59722,HS,1.1121114133125108e+27,3.707038044375036e+26,1,7.517469337367832e+32,2.5058231124559455e+32,0.0,1
MAXI J1348-630,candidateBH,58788.66968,HS,1.3345336959750129e+27,4.4484456532500424e+26,1,3.745162939200447e+32,1.2483876464001495e+32,0.0,1
MAXI J1348-630,candidateBH,58817.44918,HS,3.514272066067534e+27,2.608332662424498e+26,0,4.26889078667882e+34,5.16963847594323e+33,5.862826073647348e+33,0
MAXI J1348-630,candidateBH,58824.39566,HS,1.215908478555012e+27,2.234381625072498e+26,0,3.1608306463130806e+33,4.878252352219139e+32,5.9584562876825355e+32,0
MAXI J1348-630,candidateBH,58832.38681,HS,8.896891306500088e+26,2.9656304355000296e+26,1,1.53916575226609e+32,4.7246035231465135e+31,7.05534893808874e+31,0
MAXI J1348-630,candidateBH,58837.42836,HS,8.896891306500088e+26,2.9656304355000296e+26,1,2.8392887857914736e+32,9.464295952638249e+31,0.0,1
MAXI J1348-630,candidateBH,58845.27234,HS,1.1121114133125108e+27,3.707038044375036e+26,1,4.004910685644809e+32,1.3349702285482702e+32,0.0,1
MAXI J1348-630,candidateBH,58851.39722,HS,1.3345336959750129e+27,4.4484456532500424e+26,1,3.532924984684378e+32,1.1776416615614601e+32,0.0,1
